id,name,age,points,hand,backhand,height,weight
m0bn,Marvin Moeller,26,87,R,2,178,69
ke64,Stefan Kozlov,27,86,R,2,183,79
tg30,Rigele Te,27,86,R,2,188,80
k0de,Takuya Kumasaka,26,86,R,2,175,73
f0bv,Tomas Farjat,24,85,R,2,188,80
bp79,Peter Bertran,29,85,R,2,183,75
i09n,Federico Iannaccone,26,85,R,2,183,73
l0c1,Carlos Lopez Montagud,24,85,R,2,180,77
k0fy,Martin Krumich,22,84,R,0,188,82
b0jg,Leo Borg,21,83,R,2,183,77
a0fm,Egor Agafonov,22,82,R,2,188,76
b0ll,Viacheslav Bielinskyi,21,81,R,1,None,151
a0f3,Fabrizio Andaloro,24,81,R,2,185,83
s0in,Woobin Shin,21,81,R,2,185,76
